week,board,rank,skill,owner_repo,installs,captured_at
2026-W27,all_time,228,teach,mattpocock/skills,164500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,229,cavecrew,juliusbrussee/caveman,161200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,230,caveman-stats,juliusbrussee/caveman,161000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,231,hyperframes-cli,heygen-com/hyperframes,160300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,232,minimalist-ui,leonxlnx/taste-skill,158400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,233,vercel-react-native-skills,vercel-labs/agent-skills,158000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,234,lark-apps,larksuite/cli,156900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,235,hyperframes-registry,heygen-com/hyperframes,156200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,236,requesting-code-review,obra/superpowers,153900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,237,seo-audit,coreyhaines31/marketingskills,153000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,238,supabase,supabase/agent-skills,152500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,239,test-driven-development,obra/superpowers,152400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,240,full-output-enforcement,leonxlnx/taste-skill,151600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,241,entra-agent-id,microsoft/azure-skills,151200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,242,pdf,anthropics/skills,149300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,243,industrial-brutalist-ui,leonxlnx/taste-skill,147400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,244,stitch-design-taste,leonxlnx/taste-skill,146600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,245,docx,anthropics/skills,143400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,246,copywriting,coreyhaines31/marketingskills,143000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,247,executing-plans,obra/superpowers,141300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,248,gpt-taste,leonxlnx/taste-skill,140900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,249,paper-context-resolver,lllllllama/ai-paper-reproduction-skill,140400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,253,remotion-to-hyperframes,heygen-com/hyperframes,138500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,254,hyperframes-media,heygen-com/hyperframes,134100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,255,subagent-driven-development,obra/superpowers,134000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,257,viral-short-form,vyralcontent/content-skills,132200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,258,verification-before-completion,obra/superpowers,131800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,259,brandkit,leonxlnx/taste-skill,128400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,260,image-to-code,leonxlnx/taste-skill,127200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,261,xlsx,anthropics/skills,126700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,262,receiving-code-review,obra/superpowers,126500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,263,imagegen-frontend-web,leonxlnx/taste-skill,126000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,264,writing-skills,obra/superpowers,125500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,265,extract-design-system,arvindrk/extract-design-system,124700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,266,dispatching-parallel-agents,obra/superpowers,123700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,267,using-git-worktrees,obra/superpowers,123200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,268,imagegen-frontend-mobile,leonxlnx/taste-skill,123100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,269,viral-hooks,vyralcontent/content-skills,123000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,275,finishing-a-development-branch,obra/superpowers,121000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,276,emil-design-eng,emilkowalski/skills,116800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,277,azure-reliability,microsoft/azure-skills,110800,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,1,ai-video-generation,halt-catch-fire/skills,22100,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,6,viral-hooks,vyralcontent/content-skills,17900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,13,find-skills,vercel-labs/skills,12500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,14,ai-avatar-video,agentspace-so/runcomfy-agent-skills,6000,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,43,image-edit,doany-ai/skills,5700,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,44,ai-music,doany-ai/skills,5700,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,45,gpt-image-2,runcomfy-com/skills,5700,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,46,kling-3-0,doany-ai/skills,5700,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,47,nano-banana-edit,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,48,flux-kontext,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,49,video-edit,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,50,happyhorse-1-0,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,51,image-inpainting,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,52,face-swap,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,53,gpt-image-edit,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,54,flux-2-klein,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,55,nano-banana-2,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
